Request id,Pickup point,Driver id,Status,Request timestamp,RT_Date,RT_Time,Request Period,Drop timestamp,DT_Date,DT_Time,Drop Period,Trip Duration
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016,11:51:00,Day,11-07-2016 13:00,11-07-2016,13:00:00,Day,01:09:00
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016,17:57:00,Evening,11-07-2016 18:47,11-07-2016,18:47:00,Evening,00:50:00
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016,09:17:00,Morning,12-07-2016 09:58,12-07-2016,09:58:00,Morning,00:41:00
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016,21:08:00,Night,12-07-2016 22:03,12-07-2016,22:03:00,Night,00:55:00
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016,08:33:16,Morning,13-07-2016 09:25,13-07-2016,09:25:47,Morning,00:52:31
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016,21:57:28,Night,13-07-2016 22:28,13-07-2016,22:28:59,Night,00:31:31
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016,06:15:32,Morning,14-07-2016 07:13,14-07-2016,07:13:15,Morning,00:57:43
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016,05:11:52,Morning,15-07-2016 06:07,15-07-2016,06:07:52,Morning,00:56:00
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016,17:57:27,Evening,15-07-2016 18:50,15-07-2016,18:50:51,Evening,00:53:24
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016,06:46:00,Morning,11-07-2016 07:25,11-07-2016,07:25:00,Morning,00:39:00
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016,05:08:00,Morning,12-07-2016 06:02,12-07-2016,06:02:00,Morning,00:54:00
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016,12:30:00,Day,12-07-2016 12:57,12-07-2016,12:57:00,Day,00:27:00
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016,04:49:20,Early Morning,13-07-2016 05:23,13-07-2016,05:23:03,Morning,00:33:43
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016,08:02:53,Morning,13-07-2016 09:16,13-07-2016,09:16:19,Morning,01:13:26
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016,14:23:02,Day,13-07-2016 15:35,13-07-2016,15:35:18,Day,01:12:16
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016,17:23:18,Evening,13-07-2016 18:20,13-07-2016,18:20:51,Evening,00:57:33
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016,12:01:02,Day,14-07-2016 12:36,14-07-2016,12:36:46,Day,00:35:44
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016,22:24:13,Night,14-07-2016 23:18,14-07-2016,23:18:52,Night,00:54:39
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016,10:00:00,Day,11-07-2016 10:31,11-07-2016,10:31:00,Day,00:31:00
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016,18:45:00,Evening,11-07-2016 19:23,11-07-2016,19:23:00,Evening,00:38:00
